Oznaka pruge;Smjer;Polazna stanica;Odredišna stanica;Oznaka vlaka;Vrsta vlaka;Vrijeme polaska;Trajanje vožnje;Oznaka dana
M501;N;;Čakovec;3301;;4:11;0:35;4
M501;N;;Čakovec;3007;;5:43;0:47;
M501;N;Čakovec;;3901;;6:34;0:12;3
M501;N;;Čakovec;3303;;6:40;0:48;3
M501;N;;Čakovec;3305;;8:10;0:54;
M501;N;Mala Subotica;Čakovec;3401;;9:49;0:23;3
M501;N;;Čakovec;3307;;10:40;0:48;4
M501;N;Čakovec;Macinec;3903;;11:54;0:12;3
M501;N;;Čakovec;3609;;11:56;0:47;4
M501;N;Čakovec;;3905;;13:21;0:12;3
M501;N;;Čakovec;3017;;14:52;0:36;4
M501;N;;Čakovec;3613;;16:14;0:34;6
M501;N;;Čakovec;3309;;16:47;0:45;
M501;N;;Čakovec;3311;;18:22;0:35;
M501;N;Čakovec;;3907;;19:34;0:12;3
M501;N;;Čakovec;3313;;21:20;0:33;
;;;;;;;;
M501;O;Čakovec;;3300;;5:37;0:38;4
M501;O;;Čakovec;3900;;6:54;0:12;3
M501;O;Čakovec;;3302;;7:18;0:35;
M501;O;Čakovec;;3000;;8:04;0:38;3
M501;O;Čakovec;Mala Subotica;3002;;8:52;0:10;3
M501;O;Čakovec;;3304;;10:33;0:35;4
M501;O;;Čakovec;3902;;12:14;0:12;3
M501;O;Čakovec;;3306;;13:20;0:34;
M501;O;;Čakovec;3902;;13:40;0:12;3
M501;O;Čakovec;;3308;;14:45;0:40;4
M501;O;Čakovec;;3310;;16:06;0:34;3
M501;O;Čakovec;;990;U;17:25;0:35;4
M501;O;Čakovec;;3312;;17:25;0:35;6
M501;O;Čakovec;;3314;;19:33;0:35;
M501;O;;Čakovec;3906;;19:54;0:12;3
M501;O;Čakovec;;3316;;20:37;0:35;3
M501;O;Čakovec;;3318;;21:56;0:35;
;;;;;;;;
L101;N;;;3801;;5:50;0:21;3
L101;N;;;7351;;11:56;0:21;3
L101;N;;;3803;;13:54;0:21;4
L101;N;;;7353;;16:52;0:21;4
L101;N;;;3805;;20:06;0:21;5
;;;;;;;;
L101;O;;;3800;;5:21;0:21;3
L101;O;;;7350;;11:01;0:22;3
L101;O;;;3802;;13:26;0:21;4
L101;O;;;7352;;16:01;0:22;4
L101;O;;;3804;;19:38;0:21;5
;;;;;;;;
R201;N;Varaždin;Zabok;3001;;3:13;1:33;
R201;N;Zabok;;3001;;4:49;0:26;4
R201;N;Zabok;;3077;;4:49;0:26;6
R201;N;;Zabok;3003;;3:46;1:45;11
R201;N;Zabok;;3051;;5:42;0:43;7
R201;N;;Zabok;3005;;4:17;1:50;3
R201;N;;Varaždin;3301;;4:47;0:11;4
R201;N;Zabok;;3053;;6:13;0:24;
R201;N;Zabok;;3055;;6:31;0:24;5
R201;N;Varaždin;Zabok;991;U;5:27;1:25;4
R201;N;Zabok;;B 791;B;6:55;0:14;3
R201;N;Zabok;;3057;;7:02;0:24;4
R201;N;;Zabok;3007;;6:19;2:09;
R201;N;;Varaždin;3303;;7:17;0:00;4
R201;N;Zabok;;3059;;8:43;0:23;
R201;N;Varaždin;Zabok;3009;;8:38;1:58;3
R201;N;;Varaždin;3305;;8:53;0:00;
R201;N;;Varaždin;3401;;10:01;0:00;3
R201;N;Zabok;;3061;;10:49;0:24;3
R201;N;Varaždin;Zabok;3011;;10:35;1:35;4
R201;N;;Varaždin;3307;;11:17;0:11;3
R201;N;Zabok;;3063;;12:31;0:23;
R201;N;Varaždin;Zabok;3013;;12:25;1:31;3
